well_id,window_size,window_number,start_time,end_time,n_points,duration_actual,mean,std,min,max,median,q25,q75,range,cv,skewness,kurtosis,slope,catch22_DN_HistogramMode_5,catch22_DN_HistogramMode_10,catch22_CO_f1ecac,catch22_CO_FirstMin_ac,catch22_CO_HistogramAMI_even_2_5,catch22_CO_trev_1_num,catch22_MD_hrv_classic_pnn40,catch22_SB_BinaryStats_mean_longstretch1,catch22_SB_TransitionMatrix_3ac_sumdiagcov,catch22_PD_PeriodicityWang_th0_01,catch22_CO_Embed2_Dist_tau_d_expfit_meandiff,catch22_IN_AutoMutualInfoStats_40_gaussian_fmmi,catch22_FC_LocalSimple_mean1_tauresrat,catch22_DN_OutlierInclude_p_001_mdrmd,catch22_DN_OutlierInclude_n_001_mdrmd,catch22_SP_Summaries_welch_rect_area_5_1,catch22_SB_BinaryStats_diff_longstretch0,catch22_SB_MotifThree_quantile_hh,catch22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,catch22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22_SP_Summaries_welch_rect_centroid,catch22_FC_LocalSimple_mean3_stderr,catch22_success,sax_coarse_string,sax_coarse_entropy,sax_coarse_n_unique,sax_coarse_transitions,sax_coarse_longest_run,sax_coarse_complexity,sax_coarse_n_symbols,sax_coarse_alphabet_size,sax_coarse_dominant_symbol,sax_coarse_dominant_freq,sax_coarse_uniformity,sax_coarse_trend_increasing,sax_coarse_trend_decreasing,sax_coarse_trend_stable,sax_medium_string,sax_medium_entropy,sax_medium_n_unique,sax_medium_transitions,sax_medium_longest_run,sax_medium_complexity,sax_medium_n_symbols,sax_medium_alphabet_size,sax_medium_dominant_symbol,sax_medium_dominant_freq,sax_medium_uniformity,sax_medium_trend_increasing,sax_medium_trend_decreasing,sax_medium_trend_stable,sax_fine_string,sax_fine_entropy,sax_fine_n_unique,sax_fine_transitions,sax_fine_longest_run,sax_fine_complexity,sax_fine_n_symbols,sax_fine_alphabet_size,sax_fine_dominant_symbol,sax_fine_dominant_freq,sax_fine_uniformity,sax_fine_trend_increasing,sax_fine_trend_decreasing,sax_fine_trend_stable,catch22_error,catch22_n_points,sax_error
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,9,108.0,132.0,11,10.133333333333326,-4.9818187,0.4201043,-5.55,-4.15,-4.95,-5.325,-4.825,1.4000001,-0.0843275,0.45464054,-0.64052343,-0.04577304514184233,0.29917244905829077,0.14030145222882018,0.5930694703922793,2.0,0.7905468750859118,0.5870183318029547,0.9,3.0,0.013333333333333336,0.0,0.32344615603094495,2.0,1.0,-0.2727272727272727,0.36363636363636354,1.1205410585525736e-33,4.0,2.0253262207700677,0.0,0.0,1.570796326795,1.2879943685147826,True,bcab,1.5,3.0,3.0,1.0,4.0,4.0,3.0,1.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.0,cbcdcacb,1.75,4.0,7.0,1.0,5.0,8.0,4.0,2.0,0.5,1.0,0.42857142857142855,0.5714285714285714,0.0,dcfbfeaaddb,2.481714572986073,6.0,8.0,2.0,8.0,16.0,6.0,3.0,0.2727272727272727,1.0,0.3,0.5,0.2,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,10,120.0,144.0,6,5.116666666666674,-4.7166667,0.41899353,-5.1,-3.85,-4.875,-4.9875,-4.65,1.25,-0.08883255,1.2693049,0.2198124,0.1317217122594468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_data,6.0,insufficient_data
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,11,132.0,156.0,17,16.383333333333354,-5.1764703,0.6562186,-6.85,-3.85,-5.1,-5.4,-4.8,3.0,-0.12676951,-0.63307333,0.9064255,-0.048874380851257,0.6304870546760734,0.18697212228972693,0.5171849456326815,1.0,0.36848482527642834,-3.861031294544616,1.0,6.0,0.013020833333333332,3.0,0.12460115331440118,3.0,1.0,-0.2941176470588235,0.05882352941176472,0.06710223486482939,3.0,2.0140355237092673,0.0,0.0,1.96349540849375,1.2512239528509312,True,cbbb,0.8112781244591328,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,ccdabbca,1.9056390622295665,4.0,5.0,2.0,6.0,8.0,4.0,2.0,0.375,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,eddedfabbecddccb,2.382856063692049,6.0,11.0,2.0,10.0,16.0,6.0,3.0,0.3125,1.0,0.3333333333333333,0.4,0.26666666666666666,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,12,144.0,168.0,22,22.799999999999983,-4.4159093,4.403779,-6.85,13.85,-5.45,-6.225,-5.125,20.7,-0.99725306,3.4036891,10.799267,0.2953329988587374,-0.08077602497691005,-0.31039783616208605,0.9555723883753108,3.0,0.0,3.061811464704696,0.8571428571428571,1.0,0.03401360544217687,3.0,0.11114346388578421,3.0,0.3333333333333333,0.9545454545454546,0.13636363636363646,0.2527163895253796,3.0,2.1115904793495077,0.0,0.0,0.981747704246875,1.0079466960376495,True,bbbc,0.8112781244591328,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,bbbbbbbd,0.5435644431995964,2.0,1.0,7.0,4.0,8.0,4.0,1.0,0.875,0.5,0.14285714285714285,0.0,0.8571428571428571,cccccccccbcbcccf,0.8683927290103626,3.0,5.0,9.0,6.0,16.0,6.0,2.0,0.8125,0.5,0.2,0.13333333333333333,0.6666666666666666,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,13,156.0,180.0,22,22.96666666666667,-3.0272727,5.1600027,-6.85,13.85,-5.125,-6.1375,-3.2875,20.7,-1.7045054,1.9892571,3.1001735,0.0909297541659595,-0.3318659934256437,-0.5278356339154477,2.1343330642571576,8.0,0.4622446181386855,1.7433883732149607,0.8095238095238095,6.0,0.08000000000000002,0.0,0.10709611922295319,3.0,0.25,0.045454545454545414,-0.31818181818181823,0.4830506543153059,4.0,1.7815203933685815,0.0,0.0,0.39269908169875,1.0122801302654678,True,abcb,1.5,3.0,3.0,1.0,4.0,4.0,3.0,1.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.0,abbddbbb,1.2987949406953985,3.0,3.0,3.0,5.0,8.0,4.0,1.0,0.625,0.75,0.2857142857142857,0.14285714285714285,0.5714285714285714,bbbbbbbfffdccbcc,1.7028195311147831,4.0,5.0,7.0,9.0,16.0,6.0,1.0,0.5,0.6666666666666666,0.13333333333333333,0.2,0.6666666666666666,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,14,168.0,192.0,23,23.316666666666663,-4.1608696,3.1803389,-6.25,6.0,-5.2,-5.7,-4.7,12.25,-0.76434475,2.5525765,5.196577,-0.28170429914483563,-0.2657377873600083,-0.4540940707976576,1.5886730430850637,6.0,0.3191857228177215,-0.7115867919181198,0.9545454545454546,5.0,0.0625,0.0,0.0828825098932734,4.0,1.2,-0.8695652173913043,0.3913043478260869,0.4122729536730866,4.0,2.032113929063348,0.0,0.0,0.5890486225481251,0.5144495623775701,True,cbba,1.5,3.0,2.0,2.0,3.0,4.0,3.0,1.0,0.5,1.0,0.0,0.6666666666666666,0.3333333333333333,dcbbbbbb,1.061278124459133,3.0,2.0,6.0,5.0,8.0,4.0,1.0,0.75,0.75,0.0,0.2857142857142857,0.7142857142857143,ffddcbccbcccbbcb,1.7961796919474973,4.0,9.0,3.0,8.0,16.0,6.0,2.0,0.4375,0.6666666666666666,0.2,0.4,0.4,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,15,180.0,204.0,23,23.73333333333335,-5.5543475,0.44621918,-6.15,-4.4,-5.65,-5.875,-5.375,1.75,-0.08033692,0.9617035,0.23380876,-0.013342151576952623,-0.9219820396364684,-0.7302002987934818,0.8449351717144014,5.0,0.39140124937031234,0.36361913416713787,1.0,5.0,0.054421768707482984,5.0,0.09938942146081253,1.0,0.3333333333333333,-0.13043478260869568,0.26086956521739135,0.09907359708442898,4.0,2.1767324865575537,0.0,0.0,0.981747704246875,1.1161822357927182,True,bbca,1.5,3.0,2.0,2.0,3.0,4.0,3.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,cccbbdaa,1.9056390622295665,4.0,3.0,3.0,6.0,8.0,4.0,2.0,0.375,1.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,afdeddcbbcffbbbb,2.311278124459133,6.0,9.0,4.0,11.0,16.0,6.0,1.0,0.375,1.0,0.26666666666666666,0.3333333333333333,0.4,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,16,192.0,216.0,19,19.55000000000001,-5.389474,0.56628495,-6.1,-4.35,-5.55,-5.875,-5.0,1.75,-0.1050724,0.5341037,-1.1104485,0.015139938326025785,-0.9204605733998434,-0.9204605733998434,1.3317140647606978,4.0,0.5225446524395382,-0.13861589181951547,1.0,6.0,0.05555555555555555,5.0,0.26495327443643846,1.0,0.6666666666666666,0.4736842105263157,0.0,0.24325285445555853,4.0,1.878967493188813,0.0,0.0,0.5890486225481251,1.185008363994803,True,cabc,1.5,3.0,3.0,1.0,4.0,4.0,3.0,2.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.0,bdaaacdb,1.9056390622295665,4.0,5.0,3.0,6.0,8.0,4.0,0.0,0.375,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,bcffcabbbbceffdc,2.274397470347699,6.0,10.0,4.0,10.0,16.0,6.0,1.0,0.3125,1.0,0.4,0.26666666666666666,0.3333333333333333,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,17,204.0,228.0,8,7.633333333333354,-5.15,0.552268,-6.0,-4.35,-5.1,-5.425,-4.8125,1.6500001,-0.10723651,-0.28440776,-1.018241,0.0064786278855000524,,,,,,,,,,,,,,,,,,,,,,,,acca,1.0,2.0,2.0,2.0,3.0,4.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,accddbac,1.9056390622295665,4.0,5.0,2.0,5.0,8.0,4.0,2.0,0.375,1.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,adeffcad,2.25,5.0,6.0,2.0,6.0,16.0,6.0,0.0,0.25,0.8333333333333334,0.5714285714285714,0.2857142857142857,0.14285714285714285,insufficient_data,8.0,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,18,216.0,240.0,5,4.48333333333332,-6.2699995,0.3026549,-6.7,-5.9,-6.4,-6.4,-5.95,0.7999997,-0.048270322,-0.0034669102,-1.474796,0.0042782102935045845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_data,5.0,insufficient_data
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,19,228.0,252.0,15,15.666666666666657,-5.9033337,0.5074336,-6.7,-4.65,-5.9,-6.3500004,-5.675,2.0499997,-0.085957125,0.71879596,0.30199313,0.04338469917532457,-1.1264608726284164,-0.5410184090333274,0.496297838851936,1.0,0.7326666129804715,-0.005668990910995999,1.0,3.0,0.01530612244897959,0.0,0.17998965958510302,2.0,1.0,0.3999999999999999,-0.33333333333333337,8.217301096052204e-34,3.0,2.007556307437838,0.0,0.0,2.3561944901925003,1.129068660135417,True,abcb,1.5,3.0,3.0,1.0,4.0,4.0,3.0,1.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.0,aabbddcc,2.0,4.0,3.0,2.0,5.0,8.0,4.0,0.0,0.25,1.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,bcadbdcfbfdbede,2.4402239289418524,6.0,14.0,1.0,9.0,16.0,6.0,1.0,0.26666666666666666,1.0,0.5,0.5,0.0,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,20,240.0,264.0,15,22.666666666666657,-5.8133326,0.5289822,-6.5,-4.65,-5.9,-6.275,-5.5,1.8499999,-0.09099466,0.6928833,-0.43933654,-0.0167635550508903,-0.9162047069863422,-1.0851394564318957,0.4178731384473849,1.0,0.7588049263336096,-0.675244089499991,1.0,3.0,0.02040816326530612,0.0,0.1641808538916545,2.0,1.0,0.0,0.46666666666666656,5.135813185032628e-35,3.0,1.9701814400260844,0.0,0.0,2.74889357189125,1.0453484643867408,True,cbbb,0.8112781244591328,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,bdcbcbcb,1.4056390622295665,3.0,7.0,1.0,5.0,8.0,4.0,1.0,0.5,0.75,0.42857142857142855,0.5714285714285714,0.0,cbfbedaecdbfabc,2.523231428797621,6.0,14.0,1.0,10.0,16.0,6.0,1.0,0.26666666666666666,1.0,0.5,0.5,0.0,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,21,252.0,276.0,15,16.599999999999966,-3.4766667,5.9988575,-6.9,17.35,-5.35,-6.3,-4.7,24.25,-1.7254623,2.8001816,6.784136,0.33412797396588567,-0.16077757090080746,-0.3560458091342465,0.7944915595682406,4.0,0.028128218573984873,3.2114019959832456,0.8571428571428571,4.0,0.03401360544217687,0.0,0.3274670574023528,1.0,0.5,0.3999999999999999,-0.19999999999999996,2.054325274013051e-34,5.0,1.9328065726143313,0.0,0.0,1.1780972450962501,1.2969564359536991,True,bacb,1.5,3.0,3.0,1.0,4.0,4.0,3.0,1.0,0.5,1.0,0.3333333333333333,0.6666666666666666,0.0,bbbbbdbb,0.5435644431995964,2.0,2.0,5.0,4.0,8.0,4.0,1.0,0.875,0.5,0.14285714285714285,0.14285714285714285,0.7142857142857143,bcbbcbccbfedccc,1.822815600352516,5.0,10.0,3.0,8.0,16.0,6.0,2.0,0.4666666666666667,0.8333333333333334,0.2857142857142857,0.42857142857142855,0.2857142857142857,,,
06e6ebb9-f553-48e8-a894-c3d02328f599_4,24,22,264.0,288.0,21,23.43333333333328,-3.038095,5.152644,-6.9,17.35,-4.85,-5.5,-2.65,24.25,-1.6960115,2.9518676,8.808155,-0.00038108668022193167,-0.2721467867291422,-0.5017917740864087,0.7957134935457205,4.0,0.043124383767006905,3.6702081237200614,0.85,3.0,0.013333333333333336,3.0,0.15143213085857188,1.0,0.5,0.23809523809523814,0.0,0.17579826142990918,5.0,1.9002256148855206,0.0,0.0,1.1780972450962501,1.2429010353831922,True,bbab,0.8112781244591328,2.0,2.0,2.0,3.0,4.0,3.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,bdcbbbbc,1.2987949406953985,3.0,4.0,4.0,5.0,8.0,4.0,1.0,0.625,0.75,0.2857142857142857,0.2857142857142857,0.42857142857142855,bbbffccccbbbcdde,2.0550365325772657,5.0,6.0,4.0,9.0,16.0,6.0,1.0,0.375,0.8333333333333334,0.26666666666666666,0.13333333333333333,0.6,,,
