drug,fourier_dim_0,fourier_dim_1,fourier_dim_2,fourier_dim_3,fourier_dim_4,fourier_dim_5,fourier_dim_6,fourier_dim_7,fourier_dim_8,fourier_dim_9,sax_dim_0,sax_dim_1,sax_dim_2,sax_dim_3,sax_dim_4,sax_dim_5,sax_dim_6,sax_dim_7,sax_dim_8,sax_dim_9,catch22_dim_0,catch22_dim_1,catch22_dim_2,catch22_dim_3,catch22_dim_4,catch22_dim_5,catch22_dim_6,catch22_dim_7,catch22_dim_8,catch22_dim_9,custom_dim_0,custom_dim_1,custom_dim_2,custom_dim_3,custom_dim_4,custom_dim_5,custom_dim_6,custom_dim_7,custom_dim_8,dili_risk_numeric,molecular_weight,logp
Evobrutinib,0.060101848103211494,-0.02654043056801084,0.8841812219743346,0.39388807401818077,-0.26416623798137057,0.2877663150083407,0.5092004635416539,0.22797898286839752,-0.6076025483774268,-0.5452500716873023,-1.1880125933786638,0.20671719461150925,-0.3615844187097687,-0.46812190202697757,-0.20836418258374298,-0.21126702825577728,0.09785407601191769,0.4072154124978548,-0.017381765308335146,-0.22891548375329168,-0.5045958703588187,-0.46627330886028623,0.42311317503298856,0.190650119510616,0.3426977541301011,-0.23194518917280021,0.2332121910574903,0.35662663109796505,0.2974981450552367,-0.4992043025330397,0.3363708016777837,0.05485635882975367,0.3825893405905822,-0.17711412430192044,-0.284159408635714,1.304792666806879,0.21929220312719397,-0.7789237779430918,0.5163237683028943,4.0,429.5,4.2
Axitinib,-0.18161294038490022,-0.1495140240151735,-0.4321918217302053,-0.9175415303114013,-0.7564499355056774,-0.7926347067935023,-1.1675448533441568,-0.714078669990949,-0.33042027786607303,-0.8237213502589841,0.7392140834469687,-0.4544170485184967,0.4244821367886745,-0.14916253573106367,0.3521734191287226,0.576378570411972,-0.4224041617830037,-0.5380119130396995,-0.12220951155377,0.5290843761045295,0.4816970164203805,0.15282381945254692,-0.01689453393004741,-0.3644827218286384,-0.6254913784897337,1.1221486868724877,-0.5599752201778785,0.055250283783646346,0.2990056119181754,-0.05085990381181701,-0.37541325304945145,-0.2863700258006558,-0.011857292176263428,-0.30268462883781183,-0.2983465694441347,-0.8917085010261732,-0.15912173605487442,0.252456098845414,-0.4608122517514583,2.0,386.5,4.2
Bortezomib,2.886477566103615,3.655282939353152,4.408120951615932,1.3152078464595927,-0.423956263147447,-0.21719092758153954,-0.28118751706012696,-0.528930461206245,-0.46576267944080474,-0.7809289320354807,-0.9644575644303081,-0.6293475097357746,-0.628550418690372,0.9273253255176461,-0.2413369826844762,-0.5631937851073249,-0.5041201153633579,-0.6219078295075298,0.1398598540598172,-0.15050170514731018,2.2822131711964535,2.210342730264375,2.7003058801782664,2.5452543944089876,1.8149727131491564,-0.6104694505474157,-0.9732481003308859,2.371522066189766,0.7179601812888573,0.9137982422126593,2.677794666343075,3.9057186402144923,-0.7605281910380141,2.5906162638431964,2.795992946003601,-0.5200491080129932,2.998043809046308,1.9130472859502299,1.4888095185206411,1.5,384.2,
Temozolomide,0.14321072967031537,0.07821717744891431,-0.38986406724564376,-0.3024028339861398,-0.09895140655274674,0.025899923239905927,-0.03753965983960662,-0.11870112741289643,0.1092741235839817,0.010958212846750122,-1.0768473720452454,0.5205630220895666,-0.5395617520301709,0.20966675135183957,0.2532550188265228,-0.36209278119215477,0.8278499279964145,0.7120372423309715,0.0874459809370998,0.006325852064652804,-0.4542887229851204,0.04151081003737621,0.3432292665947507,0.4192021058367132,0.38708400401678816,-0.3113824823468688,1.206987701891358,-0.0892750215042146,0.6401128081182624,0.04792784505896085,0.2842190375825346,0.20635238887926666,-0.06872760557458914,0.0656578118797555,0.08477515617115457,0.44238717080150625,0.3192205964378209,-0.16055579856910102,1.360107775567242,2.0,194.15,-1.1
Duvelisib,-0.021613973685853827,-0.021975212402457606,0.002294889230548874,0.3055820212147524,0.9433095802132847,0.4579505070667714,0.6298011943538515,0.8195963768370785,0.42155079395765227,0.6816471564311399,0.09671448107683053,-0.5290197452141007,0.43931358123204145,0.6283009196152267,-0.34025538298667607,-0.26154227923456974,-0.2834870406964017,-0.4289472216315202,-0.48910662341279215,-0.22891548375329168,0.03218967584107278,0.23982297792854063,-0.00028289331436405697,0.07924126596097715,0.2917595783030608,-0.20287788036573481,0.28160238878342775,0.10866180965089933,0.028894751268915275,0.14798210353064611,-0.012016156271957148,-0.023716289380745752,0.15911819181858317,0.051972316835976244,0.007036358721383751,-0.10801505884764968,-0.12289654329135466,0.20445628113342826,-0.2651785577953422,3.0,416.9,4.1
Ibrutinib,-0.0376075613788223,0.0212506926589001,0.3344378541690643,0.6171654549405814,0.6072554288738902,-0.7100835227062202,0.44453537674143345,0.6766130113972231,-0.7614001383385408,-0.35121394900701475,-0.41352980288928937,-0.08140356504047778,-0.4060787520398693,0.448886276073775,-0.34025538298667607,-0.5129185341285324,-0.07102556138748087,-0.0010780476455858334,-0.01738176530833513,0.006325852064652819,-0.07893768489233377,-0.16654676469115248,0.20579314868588727,0.015345011719272494,0.6264512679474501,-0.4728135404421761,-0.13290598577960364,0.33995063433398115,0.06888466355670368,0.43801280213844274,-0.059596966523119486,-0.026124746611448195,-0.7766900681378884,-0.29618484452740196,-0.07670205787365776,-0.22021962256769184,-0.18240246078528838,-0.046436062414166014,-0.5283119241069131,2.0,440.5,3.6
Mitoxantrone,0.16460002450187008,0.33493368453972244,0.44659247609742286,-0.06744707384540996,0.26468154358936274,0.5390915184111992,-0.23269669867023568,-0.13735869665421338,0.6371218259361792,0.22936582547290651,-0.6339553335626532,0.5128455017417454,0.2613362479116392,0.2694716325323234,-0.0435001820800766,-0.3620927811921549,0.7052759976258834,0.7120372423309714,-0.06979563843105258,0.08473963067063431,-0.5174091678323544,-0.42320071687084443,0.6789998554076172,0.5584631727737618,0.5125821466087566,-0.2185591588760662,0.6046841770046879,0.16594023331849633,0.603607601459912,-0.13191651826989118,0.3331994441365758,0.5968165154026195,-0.1387218477791165,0.36653314738054454,0.4043452711759478,-0.14698857887020503,0.5631143314716163,0.7267216258190168,1.0929632638882676,2.0,444.5,1.0
Carfilzomib,1.0563421312874697,0.9634273471994818,-0.05800472746939311,-0.287873013639764,-0.5349624276756947,-0.8299539418881151,-0.5953818957888534,-0.7255852163947021,-0.9218100962635898,-0.8350561213587836,-0.9703083655531195,0.1192519640028703,-0.3170900853796681,-0.3285771792725153,-0.34025538298667607,0.24121023055335528,0.3538973972303606,0.2002721518772068,0.03503210781438232,-0.38574304096525464,0.5693614943079616,0.8879113246755415,0.3077353349230952,0.08825227617455075,0.21848696720117597,0.2589521200948088,0.42244875152615685,0.8206543671392579,0.40292117757354573,-0.5460651577666138,0.9125587243379398,0.43574901431865504,-0.5528543559736435,0.4264200619703636,0.5805395250368388,0.7553651856894413,0.736529882822217,0.3799540423103757,0.9483743789007201,2.0,719.9,4.7
Fluorouracil,-0.2445392450711948,-0.2904185890571247,-0.5474240365547114,-0.7698999385408021,-0.39376208823226216,-0.40999269834152313,-0.9306975702076218,-0.5556527578157694,0.2661792976296972,-0.03522128538743065,0.3014925203752335,-0.16115127530129567,0.8842569145330471,0.1498618701713557,-0.1424185823822764,-0.5631937851073249,-0.1255028637743836,-0.21920743046194455,-0.4017501682082631,0.18929133547860963,0.0532283672655688,0.0016395890932433068,-0.0009172966352983179,-0.4103569556431956,-0.28065019806880326,-0.39763932068523156,0.25668658484794504,-0.07477415475292427,0.29548958471941245,0.34977929994189333,-0.22439639292417193,-0.4397276604272085,0.1278881271074853,-0.43340003769468816,-0.46794294625449956,-0.1947529412379028,-0.21055969176441133,-0.17611288165975258,-0.2920251312832934,2.0,130.08,-0.9
Temsirolimus,-0.4084338425560267,-0.43904970008158,-0.23826036730879765,-0.30728038831591725,0.5980251174431811,0.6545676433962001,0.03918736859369507,-0.16045225226896007,0.4487177740539816,0.6303434190886795,-0.3431841242731603,0.7683811754807103,1.156166729328106,0.16979683056485037,0.5829830198338556,0.2579686475462862,0.9676750041227985,0.440773779084987,-0.4221333410893198,0.23721086684893167,-0.31688626724672303,0.3238375152622764,-0.35101218933156336,-0.34982845269343255,-0.04683428279240642,0.042199256375074955,1.2116551252181154,-0.21241154833392217,-0.032224662182100815,0.3128394365820938,-0.39978355607016797,-0.2535668277599279,-0.720690640300291,-0.45101853700889877,-0.24677704796337233,-0.18033253457978093,-0.3608058158909677,-0.12164554257772586,1.055348892556071,0.0,1030.3,5.6
