method,property,component,correlation,p_value,type,n_samples,abs_correlation
catch22,hepatotoxicity_boxed_warning,PC5,0.20198612520016324,0.01092606444244664,correlation,158,0.20198612520016324
custom,hepatotoxicity_boxed_warning,PC3,0.20183749041262267,0.010986048482440981,correlation,158,0.20183749041262267
sax,c_max,PC138,0.201693320552348,0.037224992208602745,correlation,107,0.201693320552348
fourier,binary_dili,PC8,-0.20157563954791302,0.011092427952699472,correlation,158,0.20157563954791302
sax,hepatotoxicity_boxed_warning,PC14,0.20152786873756198,0.011111932752607143,correlation,158,0.20152786873756198
sax,hepatotoxicity_boxed_warning,PC169,0.20135535726665085,0.011182620545145114,correlation,158,0.20135535726665085
sax,binary_dili,PC229,0.20125641980817494,0.011223339075296997,correlation,158,0.20125641980817494
sax,hepatotoxicity_boxed_warning,PC255,0.20121833045554274,0.011239049792918426,correlation,158,0.20121833045554274
sax,hepatotoxicity_boxed_warning,PC182,0.20118940839191393,0.011250992193749327,correlation,158,0.20118940839191393
sax,hepatotoxicity_boxed_warning,PC177,0.20101161775000087,0.011324650354326617,correlation,158,0.20101161775000087
sax,binary_dili,PC221,-0.2005156932188731,0.011532355983079012,correlation,158,0.2005156932188731
sax,half_life_hours,PC136,0.20043575989365503,0.039389020899353144,correlation,106,0.20043575989365503
sax,hepatotoxicity_boxed_warning,PC256,0.19953698327448066,0.011952108343498571,correlation,158,0.19953698327448066
custom,hepatotoxicity_boxed_warning,PC5,0.19936868873842778,0.01202562308814634,correlation,158,0.19936868873842778
sax,hepatotoxicity_boxed_warning,PC209,0.198940753338808,0.012214345370709572,correlation,158,0.198940753338808
sax,c_max,PC179,0.19883079741835982,0.040061771195063614,correlation,107,0.19883079741835982
fourier,binary_dili,PC21,-0.19832330210870425,0.012491224361491485,correlation,158,0.19832330210870425
sax,molecular_weight,PC190,-0.19808792973961178,0.013181282259958646,correlation,156,0.19808792973961178
catch22,logp,PC14,-0.1980740324838172,0.01693133216530748,correlation,145,0.1980740324838172
sax,binary_dili,PC1,-0.1976312355649398,0.01280809068786795,correlation,158,0.1976312355649398
sax,hepatotoxicity_boxed_warning,PC250,0.19740747032220612,0.012912038918044048,correlation,158,0.19740747032220612
sax,hepatotoxicity_boxed_warning,PC210,0.19646647015745944,0.013357305049840963,correlation,158,0.19646647015745944
sax,binary_dili,PC129,0.19632193752546023,0.01342687302885815,correlation,158,0.19632193752546023
sax,hepatotoxicity_boxed_warning,PC65,0.19621771855154152,0.01347723338228462,correlation,158,0.19621771855154152
sax,c_max,PC245,0.1959825654443607,0.04306156519271341,correlation,107,0.1959825654443607
sax,half_life_hours,PC237,0.19542684832434815,0.044687142545350875,correlation,106,0.19542684832434815
sax,half_life_hours,PC123,0.1951688582040358,0.0449753415621936,correlation,106,0.1951688582040358
catch22,logp,PC9,-0.19502124428670775,0.018740224671786945,correlation,145,0.19502124428670775
sax,logp,PC217,-0.19482579680490544,0.018861528745544105,correlation,145,0.19482579680490544
sax,binary_dili,PC202,-0.19463353681988804,0.014263341528182243,correlation,158,0.19463353681988804
sax,binary_dili,PC47,0.19460956271329694,0.014275539447013996,correlation,158,0.19460956271329694
sax,binary_dili,PC122,0.1945870552978462,0.01428699941323578,correlation,158,0.1945870552978462
sax,hepatotoxicity_boxed_warning,PC89,0.19453638126177047,0.014312830231150623,correlation,158,0.19453638126177047
sax,binary_dili,PC100,-0.19382754653638873,0.01467845483035677,correlation,158,0.19382754653638873
sax,hepatotoxicity_boxed_warning,PC107,0.19382753416347837,0.014678461282941127,correlation,158,0.19382753416347837
catch22,logp,PC5,-0.19371044459280723,0.01956685298572142,correlation,145,0.19371044459280723
sax,c_max,PC233,0.19324701686934165,0.046116573673684005,correlation,107,0.19324701686934165
sax,molecular_weight,PC65,-0.19287759875414356,0.0158495209313443,correlation,156,0.19287759875414356
sax,logp,PC174,0.19231114599166116,0.020483885857693354,correlation,145,0.19231114599166116
sax,binary_dili,PC115,0.19092765518907834,0.016260477062797613,correlation,158,0.19092765518907834
catch22,hepatotoxicity_boxed_warning,PC22,-0.19086532965758857,0.016296047248033834,correlation,158,0.19086532965758857
sax,binary_dili,PC133,0.19072128876274588,0.016378512879059472,correlation,158,0.19072128876274588
sax,hepatotoxicity_boxed_warning,PC11,0.1906200646701347,0.016436682245302304,correlation,158,0.1906200646701347
catch22,logp,PC3,-0.19042593754244402,0.021777843862415363,correlation,145,0.19042593754244402
sax,molecular_weight,PC47,-0.1903118839064027,0.017328214646431635,correlation,156,0.1903118839064027
custom,binary_dili,PC6,0.1900313012534054,0.016778596214953225,correlation,158,0.1900313012534054
sax,molecular_weight,PC64,-0.1900123012999598,0.01750844732682435,correlation,156,0.1900123012999598
sax,hepatotoxicity_boxed_warning,PC199,0.18905814285082267,0.017357304285783363,correlation,158,0.18905814285082267
sax,binary_dili,PC49,0.1876098598929704,0.018250630633378992,correlation,158,0.1876098598929704
sax,binary_dili,PC50,0.1870203532567521,0.01862550825660202,correlation,158,0.1870203532567521
catch22,logp,PC20,-0.18687601586365823,0.02440618139489617,correlation,145,0.18687601586365823
fourier,binary_dili,PC5,-0.1863056912705907,0.01908890616148397,correlation,158,0.1863056912705907
sax,binary_dili,PC75,0.18621175768680387,0.01915055022797805,correlation,158,0.18621175768680387
fourier,molecular_weight,PC13,-0.18522340191952824,0.020618316883315564,correlation,156,0.18522340191952824
sax,binary_dili,PC16,-0.18514753549842095,0.019861072296902184,correlation,158,0.18514753549842095
sax,binary_dili,PC236,0.1842767227703228,0.02045931105981316,correlation,158,0.1842767227703228
sax,logp,PC188,0.18422168767370334,0.026545049153766088,correlation,145,0.18422168767370334
sax,logp,PC41,-0.1837952288013815,0.026903211899257477,correlation,145,0.1837952288013815
catch22,hepatotoxicity_boxed_warning,PC15,-0.18367606956639665,0.020880967383727137,correlation,158,0.18367606956639665
sax,molecular_weight,PC254,-0.1825913764553372,0.02252252648273013,correlation,156,0.1825913764553372
sax,hepatotoxicity_boxed_warning,PC236,0.18226136275863952,0.021903829857359367,correlation,158,0.18226136275863952
catch22,hepatotoxicity_boxed_warning,PC4,0.18221181191218772,0.02194042529957018,correlation,158,0.18221181191218772
sax,hepatotoxicity_boxed_warning,PC123,0.18206605343301693,0.022048379799243834,correlation,158,0.18206605343301693
sax,hepatotoxicity_boxed_warning,PC117,0.18176574490612082,0.022272243527549584,correlation,158,0.18176574490612082
sax,hepatotoxicity_boxed_warning,PC217,0.18172480836336058,0.02230291058176117,correlation,158,0.18172480836336058
sax,molecular_weight,PC171,0.18119451248438667,0.02359326049472355,correlation,156,0.18119451248438667
sax,molecular_weight,PC225,-0.1801175942192408,0.024448336567863996,correlation,156,0.1801175942192408
catch22,hepatotoxicity_boxed_warning,PC13,-0.18005463919915493,0.023585484476715723,correlation,158,0.18005463919915493
fourier,binary_dili,PC14,-0.17925201473661706,0.024224065940722718,correlation,158,0.17925201473661706
sax,binary_dili,PC36,-0.17907358224751824,0.02436802940867731,correlation,158,0.17907358224751824
sax,hepatotoxicity_boxed_warning,PC230,0.17881674583278467,0.024576539912634764,correlation,158,0.17881674583278467
